# Hubbard model DMRG. L=10, N=10, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a> [calculated 2025-02-19T12:02:35.571]
0.02857142857142857; 0.2857142857142857; -2.8864983712039183; 0.006514273136518645; 5.2720245394556255e-9 # MI
0.02857142857142857; 0.30612244897959184; -3.0905799952801423; 0.006514281138076838; 3.2841514118889465e-10 # MI
0.02857142857142857; 0.32653061224489793; -3.2946616231949344; 0.006514274998960401; -3.009327463861236e-11 # MI
0.02857142857142857; 0.3469387755102041; -3.4987432550816893; 0.006514275488114674; 1.6818424440010758e-12 # MI
0.02857142857142857; 0.3673469387755102; -3.7028248873206646; 0.006514275306370276; 2.843125616511774e-12 # MI
0.02857142857142857; 0.3877551020408163; -3.906906519910418; 0.006514276983408784; -3.7488802392357345e-12 # MI
0.02857142857142857; 0.40816326530612246; -4.1109881525387415; 0.006514276633684757; -1.0120644518347562e-12 # MI
0.02857142857142857; 0.42857142857142855; -4.315069785173394; 0.006514276869192148; 2.4194212841737163e-12 # MI
0.02857142857142857; 0.4489795918367347; -4.51915141781843; 0.0065142767923724865; 1.0117035858562916e-12 # MI
0.02857142857142857; 0.46938775510204084; -4.723233050458878; 0.006514276779473249; 1.1544551115577569e-11 # MI
0.02857142857142857; 0.4897959183673469; -4.92731468309732; 0.006514276786789175; 2.9743455296353978e-12 # MI
0.02857142857142857; 0.5102040816326531; -5.13139631573219; 0.006514276770088978; -8.17186055639193e-14 # MI
0.02857142857142857; 0.5306122448979592; -5.3354779483782355; 0.006514276583472922; -3.136037491409222e-12 # MI
0.02857142857142857; 0.5510204081632653; -5.539559581032439; 0.006514276578454936; -6.632900953853479e-13 # MI
0.02857142857142857; 0.5714285714285714; -5.743641213687113; 0.006514276592970436; -3.095436682270825e-15 # MI
0.02857142857142857; 0.5918367346938775; -5.947722846338975; 0.006514276575412259; -7.750731758738757e-12 # MI
0.02857142857142857; 0.6122448979591837; -6.151804478991771; 0.006514276575408484; -9.307662437605388e-12 # MI
0.02857142857142857; 0.6326530612244898; -6.355886111645145; 0.006514276575407374; -1.1031012155690368e-11 # MI
0.02857142857142857; 0.6530612244897959; -6.559967744298204; 0.006514276575842803; 1.0033685102959467e-11 # MI
0.02857142857142857; 0.673469387755102; -6.764049376951425; 0.006514276575402711; 1.5768428319153886e-11 # MI
0.02857142857142857; 0.6938775510204082; -6.968131009604533; 0.006514276575401157; 1.9372584680350776e-11 # MI
0.02857142857142857; 0.7142857142857143; -7.1722126422574926; 0.006514276575401379; 2.8417935200325086e-11 # MI
0.02857142857142857; 0.7346938775510204; -7.376294274910757; 0.0065142765754002685; 3.0678663414494636e-11 # MI
0.02857142857142857; 0.7551020408163265; -7.580375907563808; 0.006514276575398048; -3.764949752036658e-11 # MI
0.02857142857142857; 0.7755102040816326; -7.7844575402169776; 0.006514276575396272; -5.1110430414004706e-11 # MI
0.02857142857142857; 0.7959183673469388; -7.988539172870638; 0.006514276575382505; -1.995920984900088e-11 # MI
0.02857142857142857; 0.8163265306122449; -8.192620805523102; 0.006514276575392719; -7.481578491992797e-11 # MI
0.02857142857142857; 0.8367346938775511; -8.396702438176174; 0.0065142765753900544; -8.778924771696055e-11 # MI
0.02857142857142857; 0.8571428571428571; -8.600784070829402; 0.006514276575392719; -1.5554746391085516e-10 # MI
0.02857142857142857; 0.8775510204081632; -8.804865703483106; 0.006514276575382061; -7.811255643462485e-11 # MI
0.02857142857142857; 0.8979591836734694; -9.00966616470655; 0.12050056663023323; -0.24945873545252747 # SF
0.02857142857142857; 0.9183673469387755; -9.244942545401308; 0.22870034466446865; -0.11280150026532366 # SF
0.02857142857142857; 0.9387755102040817; -9.504746073199382; 0.21968442862305393; -0.053250457955522634 # SF
0.02857142857142857; 0.9591836734693877; -9.780114752166325; 0.2498270912937821; 0.20787629574441516 # SF
0.02857142857142857; 0.9795918367346939; -10.070938524642322; 0.25740330155398494; 0.06383005527663978 # SF
0.02857142857142857; 1.0; -10.377034353718495; 0.25741015397582734; 0.0552991196860308 # SF
0.03571428571428571; 0.0; -0.2210979362499328; 0.25129583276253864; -0.04554297501884893 # SF
0.03571428571428571; 0.02040816326530612; -0.2944620173105804; 0.24648520787763828; -0.28102589205638795 # SF
0.03571428571428571; 0.04081632653061224; -0.4851421828098108; 0.16383546141345007; -0.31373240901078536 # SF
0.03571428571428571; 0.061224489795918366; -0.6581957840683793; 0.12610845176660512; -0.27193060341617353 # SF
0.03571428571428571; 0.08163265306122448; -0.8621663384938908; 0.010164406832143813; -1.0721805684885054e-12 # MI
0.03571428571428571; 0.10204081632653061; -1.066247971146939; 0.01016440683122477; 4.0011596643341765e-13 # MI
0.03571428571428571; 0.12244897959183673; -1.2703296037999974; 0.010164406839760165; 6.77376224358764e-13 # MI
0.03571428571428571; 0.14285714285714285; -1.4744112364530741; 0.01016440683655917; -2.5685690519658643e-14 # MI
0.03571428571428571; 0.16326530612244897; -1.6784928691061125; 0.010164406833113704; -2.323251963632138e-13 # MI
0.03571428571428571; 0.1836734693877551; -1.882574501759185; 0.010164406837667839; -4.902370523067199e-14 # MI
0.03571428571428571; 0.20408163265306123; -2.0866561344122636; 0.01016440684369635; -2.25650197642775e-13 # MI
0.03571428571428571; 0.22448979591836735; -2.290737767065296; 0.01016440684165909; -5.003173637305062e-14 # MI
0.03571428571428571; 0.24489795918367346; -2.4948193997183465; 0.010164406813413018; 7.843878923793667e-15 # MI
0.03571428571428571; 0.2653061224489796; -2.6989010323714298; 0.010164406825019068; 1.2283600104372934e-13 # MI
