# Hubbard model DMRG. L=12, N=12, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-11T17:29:05.045 @site  i=6]
0.11052631578947368, 0.9052631578947369, -12.428942747390998, 0.3290366377471061, -2.802299445420837e-7 # SF
0.11052631578947368, 0.9526315789473684, -13.294382630674042, 0.33464766474377594, -0.0003546517506873741 # SF
0.11052631578947368, 1.0, -14.194382350217788, 0.33464804851251406, -0.009564883576650156 # SF
0.12894736842105264, 0.1, -1.996721060136423, 0.2332628516400661, 0.19635805063633902 # MI
0.12894736842105264, 0.14736842105263157, -2.4759105501171, 0.17689589309129528, 0.12784572616972797 # MI
0.12894736842105264, 0.19473684210526315, -3.0304131876067135, 0.16659943404724908, 0.28957107208554195 # MI
0.12894736842105264, 0.24210526315789474, -3.611637295814034, 0.12944465564366614, -0.13315290790257395 # MI
0.12894736842105264, 0.2894736842105263, -4.188540533311212, 0.12498353208544377, 0.0002702200441139463 # MI
0.12894736842105264, 0.3368421052631579, -4.75695641131827, 0.12498641772624453, -0.0018779997355229858 # MI
0.12894736842105264, 0.38421052631578945, -5.325383054484698, 0.12498377532071658, -0.0002445044060127576 # MI
0.12894736842105264, 0.43157894736842106, -5.893396908264347, 0.12508833637741312, 0.027673352310601446 # MI
0.12894736842105264, 0.4789473684210526, -6.4621660067492765, 0.12504097053455832, 0.015054594188871789 # MI
0.12894736842105264, 0.5263157894736842, -7.028885167508414, 0.13305154134977415, 0.15251585491943717 # MI
0.12894736842105264, 0.5736842105263158, -7.620330591531569, 0.21491350082240235, -0.03454311340970128 # MI
0.12894736842105264, 0.6210526315789474, -8.249830804381663, 0.26984675877185116, 0.15153939476970985 # MI
0.12894736842105264, 0.6684210526315789, -8.94322161420209, 0.2899785119396483, 0.08049587272364449 # MI
0.12894736842105264, 0.7157894736842105, -9.658135856495598, 0.29770755883983324, 0.31565135537299693 # MI
0.12894736842105264, 0.7631578947368421, -10.409533994335051, 0.32025624375029493, 0.32614361903416944 # MI
0.12894736842105264, 0.8105263157894737, -11.196017857912057, 0.33656957473735494, -7.89559101520651e-7 # SF
0.12894736842105264, 0.8578947368421053, -12.008985422938823, 0.3492998122075295, 0.0015854330109507065 # SF
0.12894736842105264, 0.9052631578947369, -12.861617021934176, 0.3492998290953504, -0.0004233189401547122 # SF
0.12894736842105264, 0.9526315789473684, -13.750598687824535, 0.3568044614534176, 6.176375236361273e-7 # SF
0.12894736842105264, 1.0, -14.66735869780166, 0.3573107788332921, -1.3545171113285122e-5 # SF
0.14736842105263157, 0.1, -2.23247769788465, 0.24181263630958816, 3.362780276356837e-5 # SF
0.14736842105263157, 0.14736842105263157, -2.6855865859791295, 0.2517484600101051, -0.07030270304358803 # MI
0.14736842105263157, 0.19473684210526315, -3.257901905804605, 0.1820072929205605, 0.2960947571001273 # MI
0.14736842105263157, 0.24210526315789474, -3.827783313398599, 0.1610664815512921, -0.1077896271033421 # MI
0.14736842105263157, 0.2894736842105263, -4.396178863699053, 0.16122120813704033, -0.1061027987896524 # MI
0.14736842105263157, 0.3368421052631579, -4.968471792947668, 0.1592274094627122, 0.0007020014072996721 # MI
0.14736842105263157, 0.38421052631578945, -5.536749195102299, 0.15932544179503605, -0.021054915635842372 # MI
0.14736842105263157, 0.43157894736842106, -6.105298431365984, 0.15923475825280287, 0.01053724919292172 # MI
